cluster_0,cluster_1,name_0,name_1,voltage_kv,egon_segments,egon_max_cables,egon_circuits,jao_single_hop,jao_multi_hop,jao_total_traversals,diff_vs_single,diff_vs_total,egon_length_km,cables_detail,sh_names,mh_names
osm_28452784,spatial_2341,Station Pöppinghausen,spatial_2341,220.0,2,3,1,3,2,5,-2.0,-4.0,13.7,"[3, 3]",Y-Poeppinghausen (-Gersteinwerk - Ruhrzink) CAPPEN N ; Y-Poeppinghausen (-Elmenhorst - Ruhrzink) ELMENH S ; Y-Poeppinghausen (-Bochum - Kusenhorst) HOCHLR W ,Y-Bochum (-Kusenhorst - Poeppinghausen) HOCHLR W ; Y-Kusenhorst (-Bochum - Poeppinghausen) HOCHLR W 
osm_31762305,osm_49577401,Station Norf,Station Sankt Peter 220 kV,220.0,3,3,1,3,1,4,-2.0,-3.0,9.1,"[3, 3, 3]",Norf - St. Peter NORF W ; Norf - St. Peter STUERZ O ; Norf - St. Peter STUERZ W ,Norf - Osterath ZONS W 
osm_1128250707,osm_50643382,Conneforde 380/220 kV,Cloppenburg 220 kV,220.0,1,3,1,2,0,2,-1.0,-1.0,55.3,[3],Conneforde - Cloppenburg/O rot; Conneforde - Cloppenburg/O gruen,
osm_1128250707,osm_637595524,Conneforde 380/220 kV,Fedderwarden,220.0,1,3,1,2,0,2,-1.0,-1.0,27.9,[3],Conneforde - Fedderwarden blau; Conneforde - Fedderwarden rot,
osm_1128250707,spatial_1361,Conneforde 380/220 kV,spatial_1361,220.0,1,3,1,2,0,2,-1.0,-1.0,26.5,[3],Y-Huntorf (-Conneforde - Blockland) weiss; Y-Huntorf (-Conneforde - Sottrum) gelb,
osm_132814303,spatial_3260,Umspannwerk Altenkleusheim,spatial_3260,220.0,1,3,1,2,0,2,-1.0,-1.0,51.0,[3],Y-Altenkleusheim (-Garenfeld - Opladen) BIGGE W ; Y-Altenkleusheim (-Bixterheide - Opladen) BIGGE O ,
osm_152261133,osm_32151621,Karlsruhe-Daxlanden,220-kV-Umspannwerk Kuppenheim,220.0,2,3,1,2,0,2,-1.0,-1.0,39.0,"[3, 3]",Y-Daxlanden (-Buehl - Kuppenheim) rt; Y-Daxlanden (-Kuppenheim - Weier) ge,
osm_152403632,osm_22767509,Station Dauersberg,Station Siegburg,220.0,2,3,1,2,0,2,-1.0,-1.0,101.6,"[3, 3]",Dauersberg - Siegburg LEUSHD N ; Dauersberg - Siegburg LEUSHD S ,
osm_156676050,osm_207248812,Heidelberg-Süd,Neurott,220.0,2,3,1,2,0,2,-1.0,-1.0,4.9,"[3, 3]",Neurott - Heidelberg Sued ge; Neurott - Heidelberg Sued rt,
osm_18629425,osm_24158385,Umspannwerk Oberbachern,Umspannwerk Neufinsing,220.0,1,3,1,2,0,2,-1.0,-1.0,37.7,[3],Neufinsing - Oberbachern 264; Neufinsing - Oberbachern 263,
osm_22690852,osm_23084554,Umspannwerk Bocklemünd,Umspannanlage Brauweiler,220.0,2,3,1,2,0,2,-1.0,-1.0,8.5,"[3, 3]",Bocklemuend - Brauweiler BOCKLE N ; Bocklemuend - Brauweiler BOCKLE S ,
osm_22761839,osm_27871140,Station Opladen,Station Dünnwald,220.0,1,3,1,2,1,3,-1.0,-2.0,6.9,[3],Duennwald - Opladen DUENNW O ; Duennwald - Opladen DUENNW W ,Bayer - Duennwald FLITTA O
osm_22766160,osm_22767509,Station Sechtem,Station Siegburg,220.0,2,3,1,2,0,2,-1.0,-1.0,32.6,"[3, 3]",Sechtem - Siegburg TROISD O ; Sechtem - Siegburg TROISD W ,
osm_22766160,osm_32148946,Station Sechtem,Station Bollenacker,220.0,1,3,1,2,0,2,-1.0,-1.0,8.1,[3],Y-Sechtem (-Brauweiler - Bollenacker) GODORF O; Bollenacker - Sechtem OLEFIN W,
osm_23084417,osm_24462426,Station Pfalzdorf,Station Niederrhein,220.0,1,3,1,2,0,2,-1.0,-1.0,37.4,[3],Niederrhein - Pfalzdorf PFALZD N ; Niederrhein - Pfalzdorf PFALZD S ,
osm_23084554,osm_24839976,Umspannanlage Brauweiler,Umspannwerk Rommerskirchen,220.0,1,3,1,2,0,2,-1.0,-1.0,11.7,[3],Brauweiler - Rommerskirchen ROKI O ; Y-Brauweiler (-Opladen - Rommerskirchen) STOMM N ,
osm_23135618,osm_28397771,Umspannwerk Meißen,Veltheim,220.0,2,3,1,2,0,2,-1.0,-1.0,22.0,"[3, 3]",Meissen - Veltheim A08; Meissen - Veltheim A09,
osm_23744346,osm_637595524,Umspannwerk Maade,Fedderwarden,220.0,2,3,1,2,0,2,-1.0,-1.0,9.4,"[3, 3]",Fedderwarden - Maade weiss; Fedderwarden - Maade schwarz,
osm_23881272,osm_4826893,Dörnigheim 220 kV,Umspannwerk Frankfurt Nord,220.0,2,3,1,2,1,3,-1.0,-2.0,24.6,"[3, 3]",Y-Doernigheim (-Frankfurt/N - Grosskrotzenburg) 1; Y-Doernigheim (-Frankfurt/N - Grosskrotzenburg) 2,Grosskrotzenburg - Frankfurt/N 3
osm_24414688,osm_24858617,Station Wambel,Station Ratsbusch,220.0,2,3,1,2,0,2,-1.0,-1.0,3.2,"[3, 3]",Ratsbusch - Wambel RA WA N; Ratsbusch - Wambel RA WA S,
osm_24414688,osm_42507488,Station Wambel,Station Gersteinwerk,220.0,1,3,1,2,0,2,-1.0,-1.0,25.2,[3],Gersteinwerk - Wambel WAMBEL O ; Gersteinwerk - Wambel WAMBEL W ,
osm_24759324,osm_24768051,Umspannwerk Sittling,Ingolstadt,220.0,1,3,1,2,0,2,-1.0,-1.0,23.9,[3],Ingolstadt - Sittling 228; Ingolstadt - Sittling 227,
osm_24921206,osm_37554416,Station Büscherhof,Station Hamborn,220.0,1,3,1,2,0,2,-1.0,-1.0,7.5,[3],Buescherhof - Hamborn EMSHER N ; Buescherhof - Hamborn EMSHER S ,
osm_274621059,osm_28227099,Umspannwerk Mehrum,Hallendorf,220.0,1,3,1,2,0,2,-1.0,-1.0,29.4,[3],Y-Hallendorf (-Mehrum - Gleidingen) 2; Mehrum - Hallendorf 1,
osm_274621059,osm_33042984,Umspannwerk Mehrum,Umspannwerk und Betriebszentrum Lehrte,220.0,2,3,1,2,0,2,-1.0,-1.0,29.5,"[3, 3]",Lehrte - Mehrum 1; Lehrte - Mehrum 2,
osm_27871140,osm_29374542,Station Dünnwald,Station Gremberghoven,220.0,1,3,1,2,0,2,-1.0,-1.0,7.8,[3],Duennwald - Gremberghoven MERHM O ; Duennwald - Gremberghoven MERHM W ,
osm_28452784,osm_66038431,Station Pöppinghausen,Station Laer,220.0,1,3,1,2,0,2,-1.0,-1.0,11.8,[3],Y-Poeppinghausen (-Hattingen - Laer) POEPPI O ; Laer - Poeppinghausen POEPPI W ,
osm_37554416,spatial_5599,Station Hamborn,spatial_5599,220.0,1,3,1,2,0,2,-1.0,-1.0,4.7,[3],Y-Hamborn (-Schwelgern - Walsum) WALSUM N ; Y-Hamborn (-Schwelgern - Walsum) WALSUM S ,
osm_42872354,spatial_1361,Huntorf,spatial_1361,220.0,2,3,1,2,0,2,-1.0,-1.0,10.9,"[3, 3]",Y-Huntorf (-Huntorf - Conneforde - Sottrum) weiss; Y-Huntorf (-Huntorf - Conneforde - Sottrum) gelb,
osm_699048438,spatial_10705,Erzhausen,spatial_10705,220.0,2,3,1,2,0,2,-1.0,-1.0,10.5,"[3, 3]",Y-Erzhausen (-Erzhausen - Godenau - Hardegsen - Goettingen) 3; Y-Erzhausen (-Erzhausen - Hardegsen - Lehrte) 2,
osm_787840119,spatial_2341,Ruhrzink,spatial_2341,220.0,2,3,1,2,0,2,-1.0,-1.0,3.3,"[3, 3]",Y-Ruhrzink (-Gersteinwerk - Poeppinghausen) CAPPEN N ; Y-Ruhrzink (-Elmenhorst - Poeppinghausen) ELMENH S ,
osm_802246764,osm_952004951,Göttingen,Hardegsen,220.0,2,3,1,2,0,2,-1.0,-1.0,30.6,"[3, 3]",Goettingen - Hardegsen 3; Hardegsen - Goettingen 1,
osm_82310607,osm_89215122,Diefflen,Station Saarwellingen,220.0,1,3,1,2,3,5,-1.0,-4.0,1.0,[3],Diefflen - Saarwellingen NALBA O ; Diefflen - Saarwellingen NALBA W ,Diefflen - Uchtelfangen ELLBCH N ; Diefflen - Ensdorf ENSDF N ; Y-Diefflen (-Ensdorf - Uchtelfangen) ENSDF S 
osm_91086220,spatial_11804,Umspannwerk Simbach,spatial_11804,220.0,2,3,1,2,0,2,-1.0,-1.0,5.2,"[3, 3]",Y-Simbach (-Simbach - St. Peter - Altheim) 233/230; Y-Simbach (-Simbach - St. Peter - Altheim) 234/230,
osm_952004951,spatial_10705,Hardegsen,spatial_10705,220.0,1,3,1,2,0,2,-1.0,-1.0,29.8,[3],Y-Erzhausen (-Hardegsen - Lehrte) 2; Y-Erzhausen (-Hardegsen - Godenau - Goettingen) 3,
osm_24158385,osm_26245195,Umspannwerk Neufinsing,Umspannwerk Ottenhofen,220.0,2,9,3,2,0,2,1.0,1.0,8.4,"[6, 9]",Neufinsing - Ottenhofen 287; Neufinsing - Ottenhofen 286,
